Date,Open,High,Low,Close,Volume
21-Jan-14,43.00,43.24,42.60,42.88,203044
20-Jan-14,43.15,43.24,42.56,42.96,129389
17-Jan-14,42.75,43.02,42.56,43.00,231749
16-Jan-14,42.60,43.17,42.53,42.74,295054
15-Jan-14,43.59,43.82,42.20,42.56,349462
14-Jan-14,43.40,43.80,42.90,43.38,339704
13-Jan-14,46.80,47.28,42.50,43.40,762156
10-Jan-14,46.80,47.28,46.78,46.92,74270
9-Jan-14,47.32,47.40,46.90,46.92,93641
8-Jan-14,47.46,47.46,46.75,46.90,126751
7-Jan-14,46.16,47.28,45.99,47.24,165891
3-Jan-14,45.86,46.10,45.47,45.55,75274
2-Jan-14,45.78,45.94,45.43,45.70,85374
30-Dec-13,45.44,45.79,45.21,45.59,71215
27-Dec-13,45.00,45.84,44.95,45.21,66310
23-Dec-13,44.03,45.15,44.03,44.92,110678
20-Dec-13,43.68,44.61,43.59,44.45,295693
19-Dec-13,44.30,44.74,43.55,43.72,194249
18-Dec-13,42.90,43.90,42.84,43.90,155844
17-Dec-13,42.89,43.38,42.50,42.65,127777
16-Dec-13,42.95,43.13,42.08,42.70,234406
13-Dec-13,43.38,43.38,42.75,43.00,158887
12-Dec-13,44.30,44.30,43.40,43.60,119961
11-Dec-13,44.21,44.90,44.13,44.30,97756
10-Dec-13,44.62,44.99,44.09,44.40,80368
9-Dec-13,45.34,45.50,44.35,44.62,96747
6-Dec-13,45.32,45.32,44.88,45.08,84168
5-Dec-13,45.00,45.25,44.94,45.12,86160
4-Dec-13,45.42,45.42,44.70,45.09,176659
3-Dec-13,46.50,46.58,45.75,45.75,76797
2-Dec-13,46.50,46.64,45.95,46.40,108929
29-Nov-13,47.07,47.50,46.55,46.66,165128
28-Nov-13,47.30,47.59,47.08,47.40,51646
27-Nov-13,47.58,47.70,47.20,47.51,75045
26-Nov-13,48.40,48.40,47.38,47.68,104937
25-Nov-13,48.30,48.68,48.20,48.33,68408
22-Nov-13,48.50,48.50,47.96,48.50,94261
21-Nov-13,48.30,48.72,47.88,48.50,120311
20-Nov-13,48.69,48.69,47.76,48.44,145240
19-Nov-13,48.63,48.72,48.00,48.30,94570
18-Nov-13,47.82,48.72,47.62,48.63,111648
15-Nov-13,48.20,48.22,47.75,47.89,186206
14-Nov-13,48.42,48.66,47.75,48.14,142790
13-Nov-13,48.72,48.74,48.10,48.10,179234
12-Nov-13,47.54,48.65,47.54,48.47,179314
11-Nov-13,47.08,48.00,46.99,48.00,159929
8-Nov-13,47.90,47.90,46.90,47.50,178449
7-Nov-13,47.55,48.21,47.17,47.92,208547
6-Nov-13,46.82,47.86,46.78,47.49,637626
5-Nov-13,46.50,46.67,45.22,45.24,229622
4-Nov-13,45.50,46.35,45.40,46.35,256550
31-Oct-13,44.07,45.37,44.00,45.37,268979
30-Oct-13,43.35,44.22,43.26,44.22,132639
29-Oct-13,43.26,43.72,42.90,43.40,122922
28-Oct-13,43.50,43.77,43.00,43.27,82613
25-Oct-13,43.00,43.42,42.75,43.40,63505
24-Oct-13,43.00,43.28,42.61,43.18,97266
23-Oct-13,43.47,43.70,43.05,43.28,82425
22-Oct-13,43.76,43.84,43.18,43.47,95563
21-Oct-13,43.40,43.80,43.28,43.66,93001
